tconst,primary_title,original_title,start_year,runtime_minutes,averageRating,numVotes
tt5606896,Three,Three,2016,78,NA,NA
tt5607714,On Body and Soul,Teströl és lélekröl,2017,116,7.6,21052
tt5613122,The Mission,The Mission,NA,\N,NA,NA
tt5639354,A Fantastic Woman,Una Mujer Fantástica,2017,104,7.2,20169
tt5648624,No Man's Land,No Man's Land,NA,\N,NA,NA
tt5700648,A Man and a Woman,Nam-gwa yeo,2016,115,6.8,920
tt5759256,No Man's Land,No Man's Land,2016,85,NA,NA
tt5783112,The Hunt,Sanyang,2016,93,5,104
tt5783250,The Nest,Il nido,2016,80,5.8,33
tt5806374,Devdas,Devdas,1982,144,7.5,11
tt5816894,Divided We Fall,Divided We Fall,2016,10,NA,NA
tt5862398,No Man's Land,No Man's Land,2016,86,NA,NA
tt5875420,The Thief,The Thief,NA,\N,NA,NA
tt5904158,Hero,Hero,NA,\N,NA,NA
tt5923478,La Vérité,La Vérité,2016,97,NA,NA
tt5950490,Loveless,Loveless,NA,\N,NA,NA
tt6044608,No Man's Land,No Man's Land,NA,\N,NA,NA
tt6072768,Scarecrow,Scarecrow,NA,\N,NA,NA
tt6155172,Roma,Roma,2018,135,7.7,124374
tt6216234,The Way,The Way,2016,85,9.2,11
tt6304162,Loveless,Nelyubov,2017,127,7.6,26108
tt6322270,12,12,2019,100,NA,NA
tt6325882,The Promised Land,The Promised Land,NA,\N,NA,NA
tt6430934,Z,Z,1999,144,NA,NA
tt6434368,Trash,Trash,2020,\N,NA,NA
tt6467460,First Love,First Love,2017,\N,NA,NA
tt6543652,Cold War,Zimna wojna,2018,89,7.6,41323
tt6583992,Footnote,Footnote,2017,38,NA,NA
tt6760028,Entre Nous,Entre Nous,2018,\N,5.7,11
tt6768578,Dogman,Dogman,2018,103,7.2,18387
tt6831772,Evil,Evil,2014,72,NA,NA
tt6857290,Hero,Hero,2016,\N,NA,NA
tt6875952,Carmen,Carmen,NA,\N,NA,NA
tt6920114,Water,Water,2017,19,NA,NA
tt7048622,The Insult,L'insulte,2017,113,7.7,12633
tt7069784,The Family,The Family,2015,\N,NA,NA
tt7094884,No Man's Land,No Man's Land,2016,25,NA,NA
tt7098828,A Simple Story,A Simple Story,2016,52,NA,NA
tt7145348,First Love,First Love,NA,\N,NA,NA
tt7159036,The Conversation,The Conversation,2018,\N,NA,NA
tt7167192,The Chorus,The Chorus,2018,170,NA,NA
tt7282366,Divided We Fall,Divided We Fall,NA,\N,NA,NA
tt7288658,Yesterday,Yesterday,2017,90,NA,NA
tt7324476,Open Doors,Open Doors,2017,\N,7.8,6
tt7343966,The Thief,The Thief,NA,85,NA,NA
tt7384848,Missing,Missing,2018,120,5.7,1721
tt7539080,Mustang,Mustang,1978,60,NA,NA
tt7588122,Crossfire,Crossfire,NA,\N,NA,NA
tt7608274,12,12,2017,104,7.4,22
tt7616548,12,12,NA,\N,NA,NA
tt7644852,No Man's Land,No Man's Land,2018,77,NA,NA
tt7704712,No,Non,2017,100,NA,NA
tt7708690,Underground,Underground,NA,\N,NA,NA
tt7717878,Water,Shui,1957,49,NA,NA
tt7720054,Hero,Hero,2017,\N,NA,NA
tt7762348,Scent of a Woman,Scent of a Woman,2009,86,NA,NA
tt7822016,The Emigrants,The Emigrants,2015,105,NA,NA
tt7846482,No Man's Land,No Man's Land,NA,\N,NA,NA
tt7963100,The Farewell,The Farewell,2013,80,6.7,6
tt7985692,After the Wedding,After the Wedding,2019,112,6.1,3071
tt8052240,Scarecrow,Scarecrow,2017,46,7.6,37
tt8075192,Shoplifters,Manbiki kazoku,2018,121,8,47181
tt8079248,Yesterday,Yesterday,2019,116,6.9,79700
tt8118162,Corpus Christi,Corpus Christi,NA,\N,NA,NA
tt8244784,The Hunt,The Hunt,2020,115,NA,NA
tt8267604,Capernaum,Capharnaüm,2018,126,8.4,39074
tt8291806,Pain and Glory,Dolor y gloria,2019,113,7.6,34853
tt8305936,Underground,Underground,NA,\N,NA,NA
tt8338762,The Nest,The Nest,2020,107,6.2,30
tt8417860,Elle,Elle,NA,\N,NA,NA
tt8425674,The Child,The Child,NA,\N,NA,NA
tt8577612,In This World,In This World,2018,100,NA,NA
tt8637428,The Farewell,The Farewell,2019,100,7.7,31677
tt8649186,Corpus Christi,Boze Cialo,2019,115,7.7,3939
tt8894354,Days of Glory,Days of Glory,NA,\N,NA,NA
tt8938174,Hero,Hero,2006,\N,NA,NA
tt8991268,Honeyland,Honeyland,2019,89,8,7514
tt8995218,Z,Z,2019,83,7.1,19
tt8997088,Scarecrow,Scarecrow,NA,82,NA,NA
tt9060390,First Love,First Love,2018,122,5.9,79
tt9064764,Water,Water,2019,100,1.8,109
tt9104092,Elle,Elle,2018,60,NA,NA
tt9110566,The Damned,Mekulalim,2018,81,6.8,32
tt9112156,Missing,Missing,2016,\N,NA,NA
tt9257666,Crossfire,Crossfire,NA,\N,NA,NA
tt9476466,Hero,Hero,1944,\N,NA,NA
tt9512378,First Love,First Love,1992,\N,NA,NA
tt9594442,The Nest,The Nest,NA,\N,NA,NA
tt9641640,No Man's Land,No Man's Land,NA,\N,NA,NA
tt9743420,First Love,Tinh dau tho ngay,2019,85,5.8,10
tt9856484,The Hunt,The Hunt,NA,90,NA,NA
tt9859514,The Warrior,The Warrior,NA,\N,NA,NA
